Test Number, Average Error, Result 1, Result 2, Result 3, Result 4, Result 5, Result 6, Result 7, Result 8, Result 9
216,0.0178575,0.500863,-2.70182e-05,0.000502982,0.500574,0.000102695,-0.00028029,0.500859,0.967908,0.000651991
217,0.0177864,0.500859,-2.68695e-05,0.000500213,0.50057,0.00010213,-0.000278747,0.500854,0.967992,0.000648402
218,0.0177158,0.500854,-2.67222e-05,0.000497472,0.500567,0.00010157,-0.000277219,0.50085,0.968076,0.000644848
219,0.0176456,0.500849,-2.65764e-05,0.000494758,0.500564,0.000101016,-0.000275707,0.500845,0.968159,0.00064133
220,0.0175759,0.500844,-2.6432e-05,0.00049207,0.500561,0.000100467,-0.000274209,0.50084,0.968241,0.000637845
221,0.0175065,0.50084,-2.6289e-05,0.000489408,0.500558,9.99233e-05,-0.000272725,0.500836,0.968323,0.000634395
222,0.0174376,0.500835,-2.61474e-05,0.000486771,0.500555,9.93851e-05,-0.000271256,0.500831,0.968404,0.000630978
223,0.0173691,0.500831,-2.60072e-05,0.000484161,0.500552,9.8852e-05,-0.000269801,0.500827,0.968485,0.000627594
224,0.017301,0.500826,-2.58683e-05,0.000481575,0.500549,9.83241e-05,-0.00026836,0.500822,0.968565,0.000624242
225,0.0172333,0.500822,-2.57307e-05,0.000479014,0.500546,9.78012e-05,-0.000266933,0.500818,0.968644,0.000620922
226,0.017166,0.500817,-2.55944e-05,0.000476477,0.500543,9.72832e-05,-0.00026552,0.500813,0.968723,0.000617633
227,0.0170991,0.500813,-2.54595e-05,0.000473964,0.50054,9.67702e-05,-0.000264119,0.500809,0.968801,0.000614376
228,0.0170327,0.500809,-2.53257e-05,0.000471475,0.500537,9.62619e-05,-0.000262732,0.500805,0.968879,0.00061115
229,0.0169666,0.500804,-2.51933e-05,0.000469009,0.500534,9.57585e-05,-0.000261358,0.5008,0.968956,0.000607953
230,0.0169009,0.5008,-2.50621e-05,0.000466566,0.500532,9.52597e-05,-0.000259997,0.500796,0.969033,0.000604787
231,0.0168357,0.500796,-2.49321e-05,0.000464146,0.500529,9.47656e-05,-0.000258648,0.500792,0.969109,0.00060165
232,0.0167708,0.500792,-2.48033e-05,0.000461748,0.500526,9.42761e-05,-0.000257312,0.500788,0.969185,0.000598542
233,0.0167063,0.500788,-2.46757e-05,0.000459373,0.500523,9.3791e-05,-0.000255988,0.500784,0.96926,0.000595462
234,0.0166422,0.500784,-2.45492e-05,0.000457019,0.500521,9.33105e-05,-0.000254677,0.50078,0.969335,0.000592411
235,0.0165785,0.50078,-2.4424e-05,0.000454687,0.500518,9.28343e-05,-0.000253377,0.500776,0.969409,0.000589388
236,0.0165152,0.500776,-2.42998e-05,0.000452376,0.500515,9.23624e-05,-0.000252089,0.500772,0.969483,0.000586392
237,0.0164523,0.500772,-2.41768e-05,0.000450085,0.500513,9.18948e-05,-0.000250813,0.500768,0.969556,0.000583424
238,0.0163897,0.500768,-2.40549e-05,0.000447816,0.50051,9.14315e-05,-0.000249548,0.500764,0.969629,0.000580482
239,0.0163276,0.500764,-2.39341e-05,0.000445567,0.500507,9.09723e-05,-0.000248295,0.50076,0.969701,0.000577567
240,0.0162658,0.50076,-2.38144e-05,0.000443338,0.500505,9.05172e-05,-0.000247053,0.500756,0.969772,0.000574677
241,0.0162044,0.500756,-2.36957e-05,0.000441129,0.500502,9.00662e-05,-0.000245822,0.500752,0.969844,0.000571814
242,0.0161433,0.500752,-2.35781e-05,0.00043894,0.5005,8.96192e-05,-0.000244602,0.500749,0.969914,0.000568976
243,0.0160827,0.500748,-2.34615e-05,0.00043677,0.500497,8.91761e-05,-0.000243393,0.500745,0.969985,0.000566163
244,0.0160224,0.500745,-2.3346e-05,0.000434619,0.500495,8.8737e-05,-0.000242194,0.500741,0.970055,0.000563375
245,0.0159624,0.500741,-2.32315e-05,0.000432487,0.500492,8.83017e-05,-0.000241006,0.500737,0.970124,0.000560611
246,0.0159029,0.500737,-2.31179e-05,0.000430373,0.50049,8.78702e-05,-0.000239828,0.500734,0.970193,0.000557872
247,0.0158437,0.500734,-2.30054e-05,0.000428278,0.500488,8.74424e-05,-0.000238661,0.50073,0.970261,0.000555156
248,0.0157848,0.50073,-2.28938e-05,0.000426202,0.500485,8.70184e-05,-0.000237503,0.500727,0.970329,0.000552464
249,0.0157263,0.500727,-2.27833e-05,0.000424143,0.500483,8.6598e-05,-0.000236356,0.500723,0.970397,0.000549795
250,0.0156682,0.500723,-2.26736e-05,0.000422101,0.50048,8.61813e-05,-0.000235219,0.50072,0.970464,0.000547149
251,0.0156104,0.50072,-2.25649e-05,0.000420078,0.500478,8.57681e-05,-0.000234091,0.500716,0.970531,0.000544526
252,0.015553,0.500716,-2.24571e-05,0.000418071,0.500476,8.53585e-05,-0.000232973,0.500713,0.970597,0.000541925
253,0.0154959,0.500713,-2.23503e-05,0.000416082,0.500474,8.49523e-05,-0.000231864,0.500709,0.970663,0.000539347
254,0.0154392,0.500709,-2.22443e-05,0.00041411,0.500471,8.45496e-05,-0.000230765,0.500706,0.970729,0.00053679
255,0.0153828,0.500706,-2.21393e-05,0.000412154,0.500469,8.41502e-05,-0.000229675,0.500702,0.970794,0.000534255
256,0.0153268,0.500703,-2.20351e-05,0.000410214,0.500467,8.37543e-05,-0.000228594,0.500699,0.970858,0.000531741
257,0.0152711,0.500699,-2.19318e-05,0.000408291,0.500465,8.33616e-05,-0.000227523,0.500696,0.970923,0.000529248
258,0.0152158,0.500696,-2.18293e-05,0.000406384,0.500462,8.29722e-05,-0.00022646,0.500692,0.970987,0.000526776
259,0.0151608,0.500693,-2.17277e-05,0.000404493,0.50046,8.25861e-05,-0.000225406,0.500689,0.97105,0.000524324
260,0.0151061,0.500689,-2.1627e-05,0.000402617,0.500458,8.22031e-05,-0.000224361,0.500686,0.971113,0.000521893
261,0.0150517,0.500686,-2.15271e-05,0.000400757,0.500456,8.18234e-05,-0.000223324,0.500683,0.971176,0.000519482
262,0.0149977,0.500683,-2.1428e-05,0.000398912,0.500454,8.14467e-05,-0.000222296,0.50068,0.971238,0.00051709
263,0.014944,0.50068,-2.13297e-05,0.000397083,0.500452,8.10731e-05,-0.000221277,0.500676,0.9713,0.000514718
